ts_code,trade_date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
000001,2017-10-13,000001,9.04,8.84,9.04,8.73,737376,839662736.0,3.43,-2.1,-0.19,0.44
000001,2017-10-16,000001,8.84,9.07,9.08,8.77,1036251,1190724208.0,3.51,2.6,0.23,0.61
000001,2017-10-17,000001,9.1,8.99,9.13,8.96,506372,585334000.0,1.87,-0.88,-0.08,0.3
000001,2017-10-18,000001,9.01,9.17,9.18,8.99,871365,1011050928.0,2.11,2.0,0.18,0.52
000001,2017-10-19,000001,9.12,9.11,9.2,9.05,722765,841546800.0,1.64,-0.65,-0.06,0.43
000001,2017-10-20,000001,9.07,8.96,9.07,8.89,461808,529747056.0,1.98,-1.65,-0.15,0.27
000001,2017-10-23,000001,8.87,8.67,8.88,8.63,1074465,1206888288.0,2.79,-3.24,-0.29,0.64
000001,2017-10-24,000001,8.68,8.87,8.9,8.66,618872,700896864.0,2.77,2.31,0.2,0.37
000001,2017-10-25,000001,8.84,8.75,8.85,8.73,418574,472708176.0,1.35,-1.35,-0.12,0.25
000001,2017-10-26,000001,8.73,8.66,8.8,8.6,928996,1041707024.0,2.29,-1.03,-0.09,0.55
000001,2017-10-27,000001,8.67,9.04,9.04,8.66,1360086,1548543728.0,4.39,4.39,0.38,0.8
000001,2017-10-30,000001,9.03,9.04,9.21,8.93,1278247,1484495472.0,3.1,0.0,0.0,0.76
000001,2017-10-31,000001,9.03,9.02,9.06,8.87,627491,721237472.0,2.1,-0.22,-0.02,0.37
000001,2017-11-01,000001,9.04,8.88,9.07,8.8,692618,792881040.0,2.99,-1.55,-0.14,0.41
000001,2017-11-02,000001,8.84,9.02,9.06,8.74,604308,689229872.0,3.6,1.58,0.14,0.36
000001,2017-11-03,000001,8.97,8.87,9.16,8.83,743343,852032112.0,3.66,-1.66,-0.15,0.44
000001,2017-11-06,000001,8.9,8.76,8.9,8.57,1029903,1157303984.0,3.72,-1.24,-0.11,0.61
000001,2017-11-07,000001,8.75,9.4,9.57,8.73,2477163,2914269168.0,9.59,7.31,0.64,1.46
000001,2017-11-08,000001,9.48,9.61,10.07,9.41,4262826,5199224320.0,7.02,2.23,0.21,2.52
000001,2017-11-09,000001,9.68,9.81,10.05,9.63,2295289,2839861728.0,4.37,2.08,0.2,1.36
000001,2017-11-10,000001,9.85,9.78,10.03,9.63,1757552,2167126592.0,4.08,-0.31,-0.03,1.04
000001,2017-11-13,000001,9.83,10.38,10.58,9.83,2566906,3307955296.0,7.67,6.13,0.6,1.52
000001,2017-11-14,000001,10.43,10.43,10.74,10.29,1780302,2318092528.0,4.34,0.48,0.05,1.05
000001,2017-11-15,000001,10.38,10.38,10.61,10.25,1263052,1627912720.0,3.45,-0.48,-0.05,0.75
000001,2017-11-16,000001,10.38,10.58,10.6,10.15,1200815,1550701792.0,4.34,1.93,0.2,0.71
000001,2017-11-17,000001,10.65,10.66,10.94,10.51,2064150,2731215936.0,4.06,0.76,0.08,1.22
000001,2017-11-20,000001,10.61,11.73,11.73,10.53,2843926,3860145472.0,11.26,10.04,1.07,1.68
000001,2017-11-21,000001,11.55,11.93,12.27,11.49,2495328,3609849024.0,6.65,1.71,0.2,1.47
000001,2017-11-22,000001,11.96,12.58,12.72,11.96,2570231,3839501152.0,6.37,5.45,0.65,1.52
000001,2017-11-23,000001,12.63,11.83,12.72,11.55,2429142,3562843392.0,9.3,-5.96,-0.75,1.44
000001,2017-11-24,000001,11.77,12.04,12.07,11.26,2630190,3732597280.0,6.85,1.78,0.21,1.55
000001,2017-11-27,000001,11.78,11.41,11.78,11.23,2064085,2878491904.0,4.57,-5.23,-0.63,1.22
000001,2017-11-28,000001,11.33,11.18,11.33,10.88,1766433,2396540128.0,3.94,-2.02,-0.23,1.04
000001,2017-11-29,000001,11.21,11.3,11.41,10.95,1564095,2148312656.0,4.11,1.07,0.12,0.92
000001,2017-11-30,000001,11.18,10.86,11.21,10.74,1379636,1866700880.0,4.16,-3.89,-0.44,0.82
000001,2017-12-01,000001,10.88,10.48,10.96,10.44,1784933,2354299664.0,4.79,-3.5,-0.38,1.06
000001,2017-12-04,000001,10.53,10.78,10.85,10.48,1454023,1923315712.0,3.53,2.86,0.3,0.86
000001,2017-12-05,000001,10.63,10.78,10.97,10.58,1723681,2301867648.0,3.62,0.0,0.0,1.02
000001,2017-12-06,000001,10.74,10.56,10.75,10.27,1619845,2104168544.0,4.45,-2.04,-0.22,0.96
000001,2017-12-07,000001,10.53,10.31,10.62,10.23,1181958,1526953344.0,3.69,-2.37,-0.25,0.7
000001,2017-12-08,000001,10.37,10.57,10.57,10.23,1351315,1751423120.0,3.3,2.52,0.26,0.8
000001,2017-12-11,000001,10.56,10.98,11.05,10.36,2261953,2980735568.0,6.53,3.88,0.41,1.34
000001,2017-12-12,000001,10.88,10.5,10.96,10.5,1743406,2302354896.0,4.19,-4.37,-0.48,1.03
000001,2017-12-13,000001,10.48,10.61,10.68,10.36,1289248,1679022032.0,3.05,1.05,0.11,0.76
000001,2017-12-14,000001,10.63,10.48,10.79,10.39,1001998,1311131920.0,3.77,-1.23,-0.13,0.59
000001,2017-12-15,000001,10.38,10.2,10.41,10.15,1099953,1405372000.0,2.48,-2.67,-0.28,0.65
000001,2017-12-18,000001,10.21,10.23,10.39,10.12,805465,1029422752.0,2.65,0.29,0.03,0.48
000001,2017-12-19,000001,10.27,10.76,10.8,10.22,2397943,3138687568.0,5.67,5.18,0.53,1.42
000001,2017-12-20,000001,10.68,10.74,10.79,10.61,1106245,1463802112.0,1.67,-0.19,-0.02,0.65
000001,2017-12-21,000001,10.66,11.02,11.16,10.64,1485203,2005617680.0,4.84,2.61,0.28,0.88
000001,2017-12-22,000001,10.98,11.0,11.11,10.93,742901,1004525776.0,1.63,-0.18,-0.02,0.44
000001,2017-12-25,000001,11.0,10.73,11.34,10.64,1585567,2145040656.0,6.36,-2.45,-0.27,0.94
000001,2017-12-26,000001,10.74,11.14,11.17,10.67,1123688,1510826272.0,4.66,3.82,0.41,0.66
000001,2017-12-27,000001,11.06,10.77,11.26,10.67,1366567,1848165008.0,5.3,-3.32,-0.37,0.81
000001,2017-12-28,000001,10.76,10.69,10.94,10.5,1553030,2052944544.0,4.09,-0.74,-0.08,0.92
000001,2017-12-29,000001,10.69,10.78,10.91,10.58,982916,1303222048.0,3.09,0.84,0.09,0.58
000001,2018-01-02,000001,10.83,11.18,11.41,10.8,2081593,2856543824.0,5.66,3.71,0.4,1.23
000001,2018-01-03,000001,11.21,10.81,11.34,10.68,2962498,4006220768.0,5.9,-3.31,-0.37,1.75
000001,2018-01-04,000001,10.8,10.73,10.85,10.61,1854509,2454543520.0,2.22,-0.74,-0.08,1.1
000001,2018-01-05,000001,10.69,10.78,10.83,10.63,1210313,1603289520.0,1.86,0.47,0.05,0.72
000001,2018-01-08,000001,10.73,10.44,10.77,10.34,2158621,2806099168.0,3.99,-3.15,-0.34,1.28
000001,2018-01-09,000001,10.44,10.56,10.68,10.4,1344345,1754315792.0,2.68,1.15,0.12,0.79
000001,2018-01-10,000001,10.52,10.95,10.97,10.4,2403277,3196055824.0,5.4,3.69,0.39,1.42
000001,2018-01-11,000001,10.89,10.88,11.07,10.75,1443878,1937494288.0,2.92,-0.64,-0.07,0.85
000001,2018-01-12,000001,10.93,11.03,11.16,10.89,1353991,1833435680.0,2.48,1.38,0.15,0.8
000001,2018-01-15,000001,10.99,11.68,11.81,10.98,3122395,4376707072.0,7.52,5.89,0.65,1.85
000001,2018-01-16,000001,11.65,11.68,11.86,11.5,2444549,3479177088.0,3.08,0.0,0.0,1.44
000001,2018-01-17,000001,11.81,11.71,12.28,11.68,2656294,3849312880.0,5.14,0.26,0.03,1.57
000001,2018-01-18,000001,11.88,12.2,12.2,11.76,2148027,3120455744.0,3.76,4.18,0.49,1.27
000001,2018-01-19,000001,12.28,12.28,12.61,12.16,2571147,3832857440.0,3.69,0.66,0.08,1.52
000001,2018-01-22,000001,12.08,11.92,12.42,11.91,2073867,3032799072.0,4.15,-2.93,-0.36,1.23
000001,2018-01-23,000001,11.84,12.13,12.38,11.81,2388792,3492462000.0,4.78,1.76,0.21,1.41
000001,2018-01-24,000001,12.14,12.12,12.56,11.98,2591292,3838734928.0,4.78,-0.08,-0.01,1.53
000001,2018-01-25,000001,11.93,11.68,11.95,11.48,2369985,3360822352.0,3.88,-3.63,-0.44,1.4
000001,2018-01-26,000001,11.66,11.53,11.82,11.5,2032989,2885104624.0,2.74,-1.28,-0.15,1.2
000001,2018-01-29,000001,11.53,11.22,11.73,11.08,2090547,2911452096.0,5.64,-2.69,-0.31,1.24
000001,2018-01-30,000001,11.18,11.13,11.32,11.03,1094740,1497708880.0,2.58,-0.8,-0.09,0.65
000001,2018-01-31,000001,11.08,11.53,11.53,11.01,1747729,2423104768.0,4.67,3.59,0.4,1.03
000001,2018-02-01,000001,11.43,11.51,11.78,11.32,2005615,2821583616.0,3.99,-0.17,-0.02,1.19
000001,2018-02-02,000001,11.39,11.53,11.58,11.11,1176513,1637619616.0,4.08,0.17,0.02,0.7
000001,2018-02-05,000001,11.28,12.03,12.05,11.21,2331998,3326355312.0,7.29,4.34,0.5,1.38
000001,2018-02-06,000001,11.71,11.48,11.81,11.41,2582872,3641294704.0,3.33,-4.57,-0.55,1.53
000001,2018-02-07,000001,11.7,10.4,11.78,10.24,3345717,4521586688.0,13.41,-9.41,-1.08,1.98
000001,2018-02-08,000001,10.31,10.02,10.4,10.01,2137815,2711464880.0,3.75,-3.65,-0.38,1.26
000001,2018-02-09,000001,9.56,9.17,9.56,8.86,2824950,3308553504.0,6.99,-8.48,-0.85,1.67
000001,2018-02-12,000001,9.26,9.2,9.32,9.04,1228782,1439644320.0,3.05,0.33,0.03,0.73
000001,2018-02-13,000001,9.35,9.42,9.69,9.32,1298179,1562420000.0,4.02,2.39,0.22,0.77
000001,2018-02-14,000001,9.44,9.48,9.51,9.24,864190,1030474416.0,2.87,0.64,0.06,0.51
000001,2018-02-22,000001,9.73,9.94,10.01,9.73,1268406,1573562576.0,2.95,4.85,0.46,0.75
000001,2018-02-23,000001,10.06,10.09,10.27,9.93,1013663,1278185728.0,3.42,1.51,0.15,0.6
000001,2018-02-26,000001,10.25,10.11,10.33,9.93,1045759,1318960464.0,3.96,0.2,0.02,0.62
000001,2018-02-27,000001,10.12,9.76,10.18,9.67,1285869,1590018496.0,5.04,-3.46,-0.35,0.76
000001,2018-02-28,000001,9.58,9.53,9.67,9.41,1214146,1463313696.0,2.66,-2.36,-0.23,0.72
000001,2018-03-01,000001,9.4,9.52,9.63,9.38,886957,1069354496.0,2.62,-0.1,-0.01,0.52
000001,2018-03-02,000001,9.4,9.43,9.52,9.33,663124,791736480.0,2.0,-0.95,-0.09,0.39
000001,2018-03-05,000001,9.41,9.34,9.56,9.28,754183,897244272.0,2.97,-0.95,-0.09,0.45
000001,2018-03-06,000001,9.43,9.58,9.59,9.25,1150162,1373438384.0,3.64,2.57,0.24,0.68
000001,2018-03-07,000001,9.63,9.53,9.82,9.52,1427570,1744085264.0,3.13,-0.52,-0.05,0.84
000001,2018-03-08,000001,9.53,9.59,9.63,9.43,689755,832153696.0,2.1,0.63,0.06,0.41
000001,2018-03-09,000001,9.63,9.57,9.68,9.46,943877,1139043568.0,2.29,-0.21,-0.02,0.56
000001,2018-03-12,000001,9.63,9.51,9.65,9.43,1268701,1526643472.0,2.3,-0.63,-0.06,0.75
000001,2018-03-13,000001,9.52,9.5,9.7,9.48,1082267,1309543472.0,2.31,-0.11,-0.01,0.64
000001,2018-03-14,000001,9.46,9.4,9.48,9.31,635594,757090752.0,1.79,-1.05,-0.1,0.38
000001,2018-03-15,000001,9.27,9.19,9.33,9.14,1155695,1356878640.0,2.02,-2.23,-0.21,0.68
000001,2018-03-16,000001,9.2,9.12,9.33,9.12,962983,1130784176.0,2.29,-0.76,-0.07,0.57
000001,2018-03-19,000001,9.14,9.31,9.32,9.09,808539,947664752.0,2.52,2.08,0.19,0.48
000001,2018-03-20,000001,9.22,9.3,9.36,9.2,776150,916858480.0,1.72,-0.11,-0.01,0.46
000001,2018-03-21,000001,9.43,9.38,9.6,9.33,1445110,1736437408.0,2.9,0.86,0.08,0.85
000001,2018-03-22,000001,9.38,9.14,9.45,9.1,984278,1155741056.0,3.73,-2.56,-0.24,0.58
000001,2018-03-23,000001,8.73,8.82,8.83,8.4,1825691,2037734400.0,4.7,-3.5,-0.32,1.08
000001,2018-03-26,000001,8.63,8.41,8.68,8.34,1383599,1519435008.0,3.85,-4.65,-0.41,0.82
000001,2018-03-27,000001,8.58,8.42,8.65,8.34,1103934,1213989936.0,3.69,0.12,0.01,0.65
000001,2018-03-28,000001,8.33,8.37,8.62,8.27,1099023,1201023440.0,4.16,-0.59,-0.05,0.65
000001,2018-03-29,000001,8.4,8.53,8.65,8.03,1330602,1445281824.0,7.41,1.91,0.16,0.79
000001,2018-03-30,000001,8.52,8.38,8.53,8.36,752174,823438176.0,1.99,-1.76,-0.15,0.44
000001,2018-04-02,000001,8.35,8.19,8.47,8.18,1109316,1200911984.0,3.46,-2.27,-0.19,0.66
000001,2018-04-03,000001,8.08,8.04,8.15,7.99,890746,942237808.0,1.95,-1.83,-0.15,0.53
000001,2018-04-04,000001,8.16,8.35,8.49,8.08,1602489,1737258896.0,5.1,3.86,0.31,0.95
000001,2018-04-09,000001,8.28,8.5,8.58,8.21,1074796,1180084368.0,4.43,1.8,0.15,0.64
000001,2018-04-10,000001,8.5,8.9,8.94,8.45,1390951,1562265088.0,5.76,4.71,0.4,0.82
000001,2018-04-11,000001,8.87,9.31,9.4,8.86,2095970,2458982160.0,6.07,4.61,0.41,1.24
000001,2018-04-12,000001,9.28,9.0,9.31,8.9,1173128,1364675856.0,4.4,-3.33,-0.31,0.69
000001,2018-04-13,000001,9.12,9.05,9.27,8.93,1300256,1516155520.0,3.78,0.56,0.05,0.77
000001,2018-04-16,000001,8.95,8.58,8.95,8.51,1427073,1593706080.0,4.86,-5.19,-0.47,0.84
000001,2018-04-17,000001,8.6,8.69,8.93,8.59,1301892,1468159344.0,3.96,1.28,0.11,0.77
000001,2018-04-18,000001,8.93,8.98,9.09,8.76,1475845,1692722928.0,3.8,3.34,0.29,0.87
000001,2018-04-19,000001,9.0,8.95,9.17,8.9,849132,979593568.0,3.01,-0.33,-0.03,0.5
000001,2018-04-20,000001,8.99,8.83,9.06,8.68,958691,1090801312.0,4.25,-1.34,-0.12,0.57
000001,2018-04-23,000001,8.78,9.05,9.09,8.74,1070289,1228544000.0,3.96,2.49,0.22,0.63
000001,2018-04-24,000001,9.11,9.34,9.42,9.06,1461099,1725152192.0,3.98,3.2,0.29,0.86
000001,2018-04-25,000001,9.24,9.16,9.29,9.11,730286,854713248.0,1.93,-1.93,-0.18,0.43
000001,2018-04-26,000001,9.14,8.9,9.17,8.79,874236,1002483152.0,4.15,-2.84,-0.26,0.52
000001,2018-04-27,000001,8.97,8.33,8.99,8.11,2709796,2958464272.0,9.89,-6.4,-0.57,1.6
000001,2018-05-02,000001,8.45,8.36,8.51,8.28,1190523,1295804416.0,2.76,0.36,0.03,0.7
000001,2018-05-03,000001,8.34,8.23,8.36,8.05,1281356,1372765840.0,3.71,-1.56,-0.13,0.76
000001,2018-05-04,000001,8.21,8.16,8.31,8.14,710510,761302464.0,2.07,-0.85,-0.07,0.42
000001,2018-05-07,000001,8.18,8.29,8.31,8.12,974310,1046743104.0,2.33,1.59,0.13,0.58
000001,2018-05-08,000001,8.31,8.49,8.63,8.28,1373306,1511546688.0,4.22,2.41,0.2,0.81
000001,2018-05-09,000001,8.46,8.45,8.51,8.36,627656,687036880.0,1.77,-0.47,-0.04,0.37
000001,2018-05-10,000001,8.51,8.49,8.57,8.39,552736,607350000.0,2.13,0.47,0.04,0.33
000001,2018-05-11,000001,8.52,8.49,8.61,8.44,772370,853271168.0,2.0,0.0,0.0,0.46
000001,2018-05-14,000001,8.57,8.66,8.71,8.51,1039297,1158064208.0,2.36,2.0,0.17,0.61
000001,2018-05-15,000001,8.66,8.6,8.67,8.5,669261,742590448.0,1.96,-0.69,-0.06,0.4
000001,2018-05-16,000001,8.55,8.38,8.55,8.37,714362,782694672.0,2.09,-2.56,-0.22,0.42
000001,2018-05-17,000001,8.39,8.3,8.42,8.26,586494,635675440.0,1.91,-0.95,-0.08,0.35
000001,2018-05-18,000001,8.29,8.44,8.45,8.24,578385,628250192.0,2.53,1.69,0.14,0.34
